Gene	MsFA2a	MsFA2b	MsFA2c	MsFA2d	MsFA2e	MsFA3a	MsFA3b	MsFA3c	MsFA3d	MsFA3e	MsFA4a	MsFA4b	MsFA4c	MsFA4d	MsFA4e	MsMA2a	MsMA2b	MsMA2c	MsMA2d	MsMA2e	MsMA3a	MsMA3b	MsMA3c	MsMA3d	MsMA3e	MsMA4a	MsMA4b	MsMA4c	MsMA4d	MsMA4e
11640 -0.0162362 0.45660065 -0.0441653 0.19015352 -0.0124796 -0.081689 0.29630866 -0.0347999 0.37831771 0.13111806 0.31434566 -0.0483658 0.25445836 0.11116262 0.10392623 0.15155801 0.1653301 0.28025551 0.39907572 0.02851502 0.33641788 0.14986673 0.23358339 0.35278922 0.33719583 0.2848643 0.01528861 0.09974321 0.14735894 0.39732704
11647 -0.1387741 -0.2114093 -0.0284277 -0.4578166 -0.3541029 -0.0753553 -0.0849961 -0.1014432 -0.3207581 -0.1937644 -0.2984943 -0.2420608 -0.3958106 -0.2374336 -0.2385235 -0.1968863 -0.1098831 -0.2420492 -0.3825295 -0.0392578 -0.3305076 -0.1698428 -0.1524805 -0.0815263 -0.0601888 -0.0501614 -0.1176194 -0.0218703 -0.128746 -0.2946528
11650 0.28890566 0.46125852 0.27334408 0.45454362 0.72478752 0.77299138 0.32605277 0.95763082 0.34436116 0.13225868 0.2642015 0.41450024 0.38948636 0.37677147 0.54889637 0.67306715 0.33003241 0.31820937 0.54812526 0.65597087 0.18978296 0.58366159 0.61069143 -0.0689259 0.08766204 0.09128252 0.55632892 0.62340622 0.00864419 0.64640178
11651 0.94093103 0.8226512 1.06163757 0.84440275 0.92744056 1.15477954 0.82100752 1.22195923 0.83721146 0.90814396 0.89927688 0.62475372 0.7368097 0.90173142 0.74253943 0.81869376 0.8032708 0.80389879 0.72352985 1.10181597 0.79308597 0.91598839 0.86510552 0.74125391 0.90912957 0.86702428 0.81794122 0.90256155 0.81249852 0.67746904
11655 0.08005986 0.16066042 0.02901891 0.03169288 0.11427044 -0.1382736 0.08045081 -0.1912378 -0.0771059 0.04942695 0.185505 0.36533517 0.18133533 0.0140827 0.08124346 0.08192702 0.11465907 0.26003184 -0.072873 -0.0423362 -0.031726 0.02905789 0.08471413 0.39966351 0.06999165 0.08549247 0.03720777 0.06697868 0.22078925 0.12569738
11656 -1.4433074 -1.4264878 -1.2971333 -1.4032258 -1.5710138 -1.2734261 -1.5520441 -1.2887271 -1.4814278 -1.4322797 -1.4473037 -1.4970884 -1.6482327 -1.5304921 -1.5343994 -1.4750901 -1.4654143 -1.5873924 -1.5505671 -1.3848037 -1.336479 -1.4163883 -1.3501779 -1.8074943 -1.2377388 -1.3495616 -1.6874807 -1.3756223 -1.5419201 -1.3740134
11657 -0.5378212 0.89305505 0.43577353 0.64406618 -0.5812102 -0.4189513 0.28350337 -0.2795981 0.636549 0.45577797 0.22823988 0.49937519 0.83268862 0.75781938 -0.1004975 -0.0043501 0.61486452 0.90084142 1.08062444 -0.0994219 0.79861168 -0.2104328 0.45638386 0.95751258 0.87976884 0.90227318 0.61230825 0.46737446 0.23174964 0.87258393
11658 -0.3985938 -0.265797628 -0.325886895 -0.399525973 -0.527517353 -0.569367228 -0.350891553 -0.587457955 -1.035082925 -0.35461918 -0.193538668 -0.016508845 -0.21353733 -0.342603543 -0.273835983 -0.256236105 -0.20473591 -0.099740675 -0.256014015 -0.381853945 -0.323588028 -0.455120758 -0.187366615 0.126873978 -0.381909555 -0.154825753 -0.403110893 -0.42095139 -0.275932725 -0.19244456
11668 0.062441 0.012089745 -0.03090252 0.1600974 0.09070255 0.15380053 0.01397258 0.07044212 0.05132771 -0.007968955 0.164868045 -0.056144405 0.027599145 0.10353435 0.067851765 -0.02996159 0.051411985 -0.023873005 0.14438004 0.079971405 0.000659825 0.17601863 0.04438321 0.186457935 0.119173245 0.11255872 0.108848425 -0.04270983 -0.085083755 0.032795615
11669 0.19714371 0.0228145 0.10288171 0.11287079 0.12681845 0.2042753 0.12782967 0.24858526 0.19672553 0.097906 0.23114353 -0.1769185 -0.1529658 -0.0355854 0.00071217 0.04574022 -0.2931422 -0.1607217 0.02411233 0.07218312 0.0679424 0.14677598 -0.1053218 -0.4629659 0.02637128 0.00689488 0.02848116 -0.0837791 -0.079207 -0.2259544
