Gene	KFA2a	KFA2b	KFA2c	KFA2d	KFA2e	KFA3a	KFA3b	KFA3c	KFA3d	KFA3e	KFA4a	KFA4b	KFA4c	KFA4d	KFA4e	KMA2a	KMA2b	KMA2c	KMA2d	KMA2e	KMA3a	KMA3b	KMA3c	KMA3d	KMA3e	KMA4a	KMA4b	KMA4c	KMA4d	KMA4e
Gene	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24
11651 1.09593138 1.2275227 1.18543207 0.80792366 1.26727316 1.4841529 1.14047492 1.03899449 1.40009647 1.03272529 1.12350746 1.20990613 1.19679495 1.08360513 1.20736432 1.08075209 0.90711414 1.31816815 1.24152423 1.07913402 1.20537723 1.20653633 1.14979531 1.21257213 1.28222672 1.21806983 1.2062095 1.01931416 1.08821569 1.20639308
11655 1.11097264 0.9924206 0.89910432 0.909748 0.70187624 0.77212063 0.94039683 1.07482012 1.19910834 0.99277187 0.96099128 0.84747114 0.86427218 0.95702109 1.16074937 0.89986571 1.12038244 1.01861174 1.00083589 0.81889827 0.99443512 0.75367071 0.94540112 0.81809307 0.82234131 1.06047487 0.94163362 0.97722548 1.04152577 1.08107489
11656 -1.7984306 -1.6090791 -2.0242475 -1.8163158 -1.3741028 -1.4696145 -1.7655235 -1.746396 -1.7241436 -1.8002004 -1.732687 -1.7505269 -1.6496594 -1.6451645 -1.3540185 -1.6496356 -1.8103992 -1.7249157 -1.5978188 -1.7180733 -1.8054164 -1.7416725 -1.3641258 -1.541516 -1.4092939 -1.8785792 -1.7515733 -1.4223204 -1.678814 -1.7734102
11657 1.13207788 1.30374654 0.41268623 0.91574041 1.10240906 1.20382546 1.27948545 0.97930734 0.40943345 0.80242245 1.43690376 1.44616013 1.14477559 1.29856254 1.32819029 1.72949099 1.53585061 0.63771324 1.0394877 1.14756033 0.91812853 1.39589823 1.90163765 1.53388379 0.21967387 1.11599868 1.29276968 1.90283348 1.5003671 1.05239906
11658 0.37378841 0.467912573 0.320750165 0.360571948 0.436980388 0.348368073 0.268469643 0.453042683 0.584524265 0.371897518 0.187633908 0.43374667 0.386128543 0.36614226 0.329264045 0.322890465 0.306139363 0.41996854 0.554615945 0.380490278 0.371153468 0.314965748 0.455506325 0.382941888 0.217567755 0.453540905 0.440735725 0.492098535 0.43405535 0.478496458
11668 0.50887884 0.33374158 0.51555846 0.517828285 0.608039005 0.490027175 0.50811188 0.424373125 0.45211199 0.584132445 0.44238579 0.45811955 0.54213001 0.495012825 0.69242645 0.437797345 0.43516396 0.537083835 0.412671145 0.622159645 0.52409171 0.52093919 0.52929316 0.477028935 0.418658395 0.614411365 0.523325945 0.40870265 0.519174195 0.54025286
11669 -1.1131909 -0.6010965 -0.9133797 -0.790213 -0.9936302 -0.8359655 -0.7252801 -0.8654924 -1.0074983 -1.1146017 -0.8306828 -0.9215838 -0.9967483 -0.8265387 -0.8027534 -0.7407081 -0.9469339 -0.9212885 -0.9977481 -0.8522235 -0.792321 -0.9610919 -1.0127714 -0.7881241 -0.5382806 -0.9352718 -0.930541 -0.8973696 -0.847186 -1.3444609
11676 1.74398613 1.2861082 1.69490288 1.5248214 1.70365397 1.40967359 1.61883743 1.52527712 1.76103908 1.92474748 1.66320338 1.6025236 1.69713154 1.72431154 1.63129549 1.42496583 1.56400426 1.8488325 1.58276309 1.68998944 1.88756127 1.55517205 1.87230894 1.65895262 1.40744406 1.64813381 1.72283156 1.64569851 1.4449488 1.71894929
11684 -0.6235472 -0.5793288 -0.8962783 -0.5674074 -0.5937648 -0.6727759 -0.6988423 -0.9842887 -0.7950984 -0.6027451 -0.1934065 -0.9660966 -0.9140611 -0.9360444 -0.6735473 -0.6896469 -0.7238109 -0.9327159 -0.0579891 -0.6122936 -0.2609293 -0.7946641 -0.8385188 -0.8975793 -0.4430497 -1.0407594 -1.1384116 -0.8192656 -0.5399701 -0.9924425
11685 -0.0292564 0.44405279 0.08865544 0.00048613 0.18629449 0.54984818 0.07108533 0.23531144 0.40282794 0.22699675 0.29523152 0.34138163 0.2469702 0.20242749 0.35260258 0.11495859 -0.1689679 0.20142561 0.32939959 0.14576957 0.05465289 0.32275693 0.39176193 0.226526 0.08443156 0.17076571 0.26572084 0.50579595 0.35949967 0.14114982
