Gene	GSM684640	GSM684639	GSM684638	GSM684637	GSM684636	GSM684635	GSM684634	GSM684641	GSM684655	GSM684653	GSM684657	GSM684656	GSM684651	GSM684654	GSM684652	GSM684650
619566	2.79407	2.80236	2.77477	2.82382	3.12881	2.82979	2.85573	2.96693	2.96946	2.7699	2.71483	2.93816	2.68972	2.67489	2.74579	2.72527
619573	8.065595	8.019235	8.08895	7.842015	7.84965	7.79877	7.952085	7.82639	7.98455	7.890085	7.778095	7.9468	7.975605	8.342215	7.770425	7.99633
619574	8.13404	8.16715	8.092035	8.026675	7.824755	8.242165	8.56705	8.040585	8.492725	8.175675	8.2077	8.616895	8.206625	8.771425	8.084965	8.408325
619577	11.128	11.221	11.4354	11.3628	11.2607	11.2361	11.3372	11.383	11.6802	11.6157	11.6223	11.4829	11.4205	10.3001	11.7152	11.6757
619579	9.40464	9.54353	9.31549	8.97973	9.15451	8.94681	9.22839	9.50549	9.23381	8.94971	9.37509	9.16694	9.12996	9.48631	9.19472	8.97178
619580	7.552435	6.661745	7.34413	6.934615	7.2746	7.573	7.55085	7.301345	8.475045	8.07846	8.568105	8.313975	9.047675	7.90699	8.45638	8.799565
619581	7.36780666666667	7.33737	7.33477333333333	7.41572	7.34406333333333	7.34746333333333	7.28324	7.30949	7.27753333333333	7.26916333333333	7.28443666666667	7.25989	7.37220333333333	7.30599333333333	7.24030333333333	7.44106333333333
619582	9.80585	9.9661	10.2191	9.96373	9.74697	10.2734	9.97953	9.80532	9.56711	9.61985	9.59548	9.43877	9.43691	9.40774	9.62094	9.60308
641315	8.831165	9.121005	9.25776	9.288485	8.87387	9.10712	9.009055	9.372735	9.0931	9.0004	9.246875	8.823355	9.089235	8.02454	9.259465	9.05529
641386	5.384108	5.360894	5.148102	5.306334	5.314552	5.283554	5.257486	5.449394	5.247864	5.19765	5.15083	5.090614	5.372342	5.002562	4.956104	5.115728
641434	13.9994	14.0174	14.0303	13.907	13.8837	13.9852	13.8783	13.9346	13.688	13.8191	13.8554	13.8196	13.8275	13.7278	13.7749	13.7846
641452	10.6199966666667	10.8788	10.8192666666667	10.6548066666667	10.8535133333333	10.6871333333333	10.6953433333333	10.7608766666667	10.9766333333333	10.7062433333333	10.6632166666667	10.66713	10.6604533333333	11.1569666666667	10.7361	10.70457
641520	2.95629	3.04805	2.77256	3.03805	2.50695	2.61668	2.54802	2.4537	2.39539	2.41975	2.41355	2.76881	2.43857	2.34551	2.4204	2.53431
641521	3.27746	3.22037	3.12616	3.233635	3.213305	3.324785	3.18774	3.208395	2.93301	3.17939	3.09555	2.99346	3.23704	3.012765	3.11164	3.04613
641523	2.05066	2.01876	2.02045	2.06549	2.05201	2.07149	2.02013	2.02251	1.88386	2.03769	1.97797	1.97896	1.98952	1.95908	1.99621	1.99348
641528	7.829545	7.632435	7.80644	7.75816	7.897205	7.757415	7.877595	7.418005	7.69563	7.61304	7.64746	7.620215	7.46594	7.64316	7.60649	7.598235
641603	3.51233	3.95603	4.21516	2.11909	3.43091	3.48362	3.48643	3.48514	3.06924	3.38932	3.45887	3.30171	3.37098	6.82775	2.96658	3.45742
641632	2.72632	2.68889	2.68058	2.73853	2.71683	2.78081	2.69261	2.69494	2.48394	2.73667	2.72098	2.63937	2.63341	2.60771	2.6728	2.64942
