Gene	EFA2a	EFA2b	EFA2c	EFA2d	EFA2e	EFA3a	EFA3b	EFA3c	EFA3d	EFA3e	EFA4a	EFA4b	EFA4c	EFA4d	EFA4e	EMA2b	EMA2c	EMA2d	EMA2e	EMA3a	EMA3c	EMA3d	EMA3e	EMA4a	EMA4b	EMA4c	EMA4d	EMA4e
Gene	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24	6	6	6	6	16	16	16	16	24	24	24	24	24
11609 0.21253156 0.51785719 0.43477282 0.39944256 0.28610337 0.32381372 0.60808618 0.37901665 0.47839893 0.30792227 0.41784012 0.45608819 0.45312873 0.34026498 0.41112747 0.42364255 0.41826006 0.38617423 0.54098892 0.22277148 0.52339972 0.54149309 0.42824381 0.52295651 0.22882034 0.43831593 0.58049091 0.38061877
11610 1.539512805 1.619259445 1.60720073 1.729344445 1.564944135 1.55974533 1.34587189 1.598240215 1.500192845 1.487044235 1.33831344 1.56314961 1.477054525 1.600573225 1.563467845 1.71773321 1.468056515 1.628430955 1.58798544 1.567427605 1.552757895 1.440012545 1.54900976 1.394303535 1.46415102 1.60733688 1.38137296 1.60494194
11630 -0.06699011 -0.4570935 -0.561034635 -0.85386625 -0.34712945 -0.85753665 -0.6018575 -0.18039905 -0.7690984 -0.69848775 -0.70475137 -0.5066827 -0.8452521 -0.455120355 -0.446363 -0.37035825 -1.2030731 -0.85862715 -0.634725565 -0.0238416 -0.4835545 -0.68466165 -0.82456045 -0.97427915 -0.74177145 -0.54302755 -0.79947335 -0.65704835
11632 -0.0780524 0.05203706 -0.1005604 -0.1032875 -0.0748339 -0.2119913 0.15927535 0.31987271 -0.1062286 -0.2608703 0.52586338 0.05050607 0.02532441 -0.1913988 0.05098124 -0.3512426 -0.1423635 -0.1520847 -0.1308259 -0.1820369 0.181876 -0.0787 -0.1195872 -0.0109857 -0.156458 0.33851509 0.18934806 -0.1458869
11637 0.09267718 0.104560465 0.18846621 0.488670455 0.42527686 0.501965195 0.05765274 0.19795854 0.39334563 0.27241764 0.59829746 0.067476045 0.48974057 0.44205297 0.28585743 0.40852249 0.40923882 0.3215249 0.367072005 0.13446879 0.150244875 0.166041045 0.461484495 0.436356735 0.425896395 0.32143708 0.267797475 0.30440639
11639 0.68953898 0.72939868 0.648620007 0.628226933 0.61097773 0.520376637 0.636039593 0.492938527 0.73119831 0.604616373 0.63884544 0.521250223 0.753663563 0.718906337 0.55688491 0.51209315 0.74215716 0.699684847 0.61309961 0.543844357 0.619237957 0.682462303 0.587581273 0.612242693 0.60536822 0.58659451 0.559435383 0.578196503
11640 0.30135697 0.05087482 0.20365527 0.00434951 0.25194997 0.28080372 0.32756006 0.20031086 0.11402607 0.02039168 -0.1034872 0.24734502 0.25266567 -0.0064482 0.27529059 -0.0130572 -0.1210216 0.21672028 0.10832204 0.00390724 0.33440133 0.45109336 0.06117418 0.10577373 0.12741997 0.4272768 0.16596597 0.31238432
11647 0.11947334 0.08061988 0.15512307 0.10600287 0.1878767 -0.0740775 0.33798602 0.12365085 0.21126424 0.08216905 0.31365712 0.08079427 -0.0418787 0.237932 0.24863349 0.28557149 0.30878629 0.14303059 0.20059711 0.15712682 0.25657757 0.33713119 0.39132362 0.18653668 0.04993918 0.23777639 0.32607742 0.19170409
11650 -0.8607546 -0.8090336 -0.8338547 -0.7426031 -1.0957287 -1.0157977 -1.3969487 -1.059286 -0.8873749 -1.3167784 -1.2843006 -0.3291605 -1.0419765 -1.0639827 -0.9468562 -1.212587 -0.8998562 -0.7190759 -0.7197783 -1.1829596 -0.642537 -1.1372646 -0.7878184 -0.851591 -0.9673052 -1.1590305 -0.9670837 -0.69149
11651 1.16570718 1.36917519 1.01881898 1.21514367 1.19763777 1.09421969 1.30829033 1.18073773 1.02792443 1.19377798 1.56234372 0.96979055 1.21203244 1.2372595 1.27462474 1.22784145 1.20175168 1.05678931 1.13670297 1.15817121 1.24729723 1.39149152 1.16096496 1.19903067 1.21189515 1.33199012 1.1516387 1.11472128
11655 0.43925413 0.27506076 0.415955 0.45113884 0.52534981 0.40959279 0.55278842 0.2892136 0.57251331 0.37168963 0.52917946 0.47236948 0.33744344 0.41569814 0.39001765 0.29595652 0.61014939 0.50569087 0.46840003 0.18416336 0.49840197 0.47935115 0.48090538 0.58247295 0.59397343 0.1971985 0.54479006 0.55216701
11656 -1.3230111 -2.542199 -0.7163155 -1.4313346 -1.1889939 -0.9387632 -1.7010049 -1.6641407 -1.2645009 -0.5925489 -2.3730237 -1.6075733 -1.3396093 -0.9216243 -1.5572003 -1.1298837 -1.0988729 -0.9019776 -1.1759638 -1.1726898 -1.6523165 -0.6211983 -1.1304897 -1.2146095 -1.3735565 -0.5501039 -1.8601164 -1.2977485
11657 0.86787731 0.74187551 0.86967441 0.54837747 1.17522286 1.16954367 1.21351249 0.96228842 1.03597901 1.25142316 0.74952504 1.09826655 1.34812257 0.88428446 0.98776013 1.00500286 0.92827922 0.98020535 1.2398727 0.95362231 1.25630144 1.16810334 1.13621373 1.14083338 1.40509782 1.12864214 1.05076174 0.77495919
11658 0.122118288 -0.21807028 -0.14873212 -0.315863228 0.22948848 0.16487905 0.138192755 0.06431367 -0.05257864 0.139819598 0.401085265 -0.564757885 -0.075915758 0.000973732 0.088641693 0.099376618 0.026318325 -0.272991423 -0.069960163 -1.200078793 -0.070984425 0.363410428 0.200187645 0.090365113 0.013338525 -0.099863858 0.1554198 -0.094514258
