Gene	BmFA2a	BmFA2b	BmFA2c	BmFA2d	BmFA2e	BmFA3a	BmFA3b	BmFA3c	BmFA3d	BmFA3e	BmFA4d	BmMA2a	BmMA2b	BmMA2c	BmMA2d	BmMA2e	BmMA3a	BmMA3b	BmMA3c	BmMA3d	BmMA3e	BmMA4a	BmMA4b	BmMA4c	BmMA4e
Gene	6	6	6	6	6	16	16	16	16	16	24	6	6	6	6	6	16	16	16	16	16	24	24	24	24
11287 1.5397499 1.32449529 1.3338381 1.62385778 1.61204797 1.59719437 1.46900697 1.49309632 1.62308868 1.17678947 1.57542256 1.14138923 1.23362473 1.40255229 1.65416234 1.70180894 1.58909653 1.37447302 1.34314828 1.3919355 1.42048208 1.75100469 1.21481569 1.52314529 1.71987948
11637 0.006237385 0.03643236 0.4008114 -0.03302894 -0.188659925 0.154981465 0.309788975 -0.05007285 -0.21100034 0.30529811 -0.005041075 0.326221335 0.386351035 0.48210158 -0.205146915 -0.29703539 0.02249871 0.31549654 0.37489009 0.05631317 0.118793695 0.04348558 0.288528315 0.112777445 -0.205613195
11639 0.43315019 0.47162719 0.48781993 0.57278634 0.442317617 0.644468933 0.484031033 0.49447073 0.460956847 0.43317487 0.479524693 0.376327027 0.388813257 0.482740723 0.57901357 0.59917956 0.597490147 0.511533623 0.433074183 0.550416393 0.518369107 0.460411763 0.504877323 0.479880267 0.621068427
11640 0.23201027 0.35586802 0.15045643 0.01201031 -0.4623086 0.01031419 0.25718859 0.19954341 -0.1409677 0.20376625 -0.0611654 0.64700086 0.30962657 0.49377879 0.00432314 -0.113574 -0.190768 0.36212288 0.23665659 0.18963987 0.24886514 0.01792787 0.3345337 0.2659429 -0.0986382
11647 -0.1432701 -0.0648657 -0.2128816 -0.0964287 -0.1057213 -0.003013 -0.1395231 -0.2232583 -0.1859662 0.11888874 -0.2732615 -0.2714466 -0.1496197 -0.1801553 -0.1137464 -0.0940556 -0.3935748 -0.0660851 -0.1052321 -0.2664844 -0.1227666 -0.0616494 -0.1579399 -0.1373884 -0.6132555
11650 1.05007259 1.21739972 1.0075991 0.8739721 0.67239543 0.89990308 0.86844252 1.07299733 0.83805283 1.28783806 0.96715381 1.27212972 1.08584387 0.87739995 0.83829658 1.04476433 1.2758426 1.06434246 1.12225026 0.97057229 0.87457818 0.78734284 1.18457373 0.80793806 0.75557165
11651 0.61489426 0.83601505 0.60604444 0.45911972 0.70811275 0.61477274 0.87685503 0.80349807 0.68133856 0.87384606 0.74687926 0.72977529 0.74729286 0.84275579 0.67329216 0.74537174 0.6930766 0.90029597 0.7910286 0.60251716 0.61321117 0.79323616 0.807344 0.85358524 0.73157988
11655 0.46285357 0.44722475 0.42955897 0.49089023 0.57863717 0.47028969 0.41297222 0.61681055 0.66418011 0.44662344 0.41976206 0.30915638 0.38780263 0.45952715 0.44591345 0.65189557 0.39499015 0.46490432 0.36299076 0.50163313 0.51149138 0.60006784 0.35270231 0.65114103 0.68025425
11656 -0.5578952 -0.3100942 -0.3532322 -0.5787152 -0.6267434 -0.5364828 -0.459819 -0.6171832 -0.9129356 -0.0291635 -0.4242103 -0.3358922 -0.2995005 -0.642831 -0.7277613 -0.6230749 -0.1564695 -0.2807608 -0.3207828 -0.7797354 -0.3463996 -0.7965892 -0.369357 -1.0198432 -0.9556275
11657 0.64681616 0.75470273 0.71903755 0.32358487 0.32912965 0.4295743 0.4713649 0.42603463 0.09363658 0.66533059 0.45661399 0.80144432 0.72615062 0.84757876 0.28140757 0.13149568 0.02782485 0.50425819 0.49466141 0.67890252 0.44298637 0.3954636 0.88989565 0.58087373 0.14777185
11658 0.1224056 0.088264085 0.06144188 0.124964918 0.30411982 -0.06606407 0.214340763 0.03266856 0.223357298 0.076654788 0.164904173 0.035737122 0.070321978 0.054140513 0.163341455 0.110471003 0.160167933 0.099646095 0.037257295 0.05666471 0.249155545 0.192483908 0.026300198 0.161856148 0.24807408
