Gene	TFA2a	TFA2b	TFA2c	TFA2d	TFA2e	TFA3a	TFA3b	TFA3c	TFA3d	TFA3e	TFA4a	TFA4b	TFA4c	TFA4d	TFA4e	TMA2a	TMA2b	TMA2c	TMA2d	TMA2e	TMA3a	TMA3b	TMA3c	TMA3d	TMA3e	TMA4a	TMA4b	TMA4c	TMA4d	TMA4e
11639 0.569968873 0.394669423 0.492978547 0.554812283 0.388207163 0.406279417 0.504676877 0.518634773 0.685305883 0.399001887 0.504540193 0.41262002 0.51656407 0.544285957 0.564446263 0.48906967 0.521996673 0.417464117 0.397084243 0.512822557 0.36287 0.544699093 0.565887387 0.553039087 0.288657437 0.713311453 0.594582387 0.50828162 0.587815373 0.472056483
11640 -0.3707643 0.28132575 0.2863138 -0.1570063 -0.2835868 0.22554856 -0.2396896 -0.0613208 0.01938962 -0.2919451 0.51468222 -0.0790499 -0.499282 -0.1250402 -0.0648263 0.03473522 0.61610984 -0.0465188 -0.3067222 -0.2064208 -0.271094 0.22901784 0.07194507 -0.0100471 -0.2152413 0.31643526 0.07583398 -0.2172631 0.18114332 -0.6099589
11647 -0.3832614 -0.2411827 -0.1682257 -0.3128725 -0.2246655 -0.1511821 -0.2648609 -0.3894339 -0.1209201 -0.2728272 0.03632609 -0.3672853 -0.2855711 -0.3264296 -0.450239 -0.0585458 -0.317101 -0.106833 -0.1546756 -0.4673896 -0.1755889 -0.5140133 -0.1498177 -0.4066141 -0.6091059 -0.4914675 -0.4060993 -0.233171 -0.460933 -0.2596388
11650 -0.869682 -0.8065919 -0.6079665 -0.851323 -0.5874112 -0.9090973 -0.9067346 -1.0497267 -0.8211918 -0.6872741 -0.7231698 -0.9632103 -0.560764 -0.9846972 -0.8190272 -0.761994 -0.9236319 -1.0183802 -0.8674686 -0.5880281 -0.7756065 -1.0455151 -0.832802 -0.5698945 -1.163779 -0.9850134 -0.8220696 -0.5991487 -0.6640724 -0.8244723
11651 1.08557476 1.17859353 1.22540066 1.33492026 1.05813293 1.21631666 1.39092909 0.95832432 1.28768945 1.567619 1.08366173 1.25242375 1.29098686 0.97923825 1.11760924 1.35911448 1.01173708 1.36713915 1.41946786 1.17233026 1.11195257 1.21909838 1.40115571 1.14966187 0.98302111 0.98501313 1.12535928 1.0767282 0.95272203 1.15549955
11655 0.81101003 0.70674622 0.78571487 1.05382608 0.58406478 0.77327553 0.8962539 0.71906011 0.82605403 0.85777132 1.08824987 0.73118664 0.92723803 0.88039891 0.83761299 0.93748283 0.59346344 0.91804974 0.932262 0.92073107 0.93924397 0.94504819 0.64660674 0.93515541 0.70895811 0.74589731 0.71458595 0.8013781 0.96561077 0.75192229
11656 -1.6498284 -1.921768 -1.7718864 -2.0429687 -1.4940184 -1.4533389 -1.6905171 -1.8803025 -1.6383552 -1.6675481 -1.4671706 -1.6169176 -1.7531085 -1.8871904 -1.983102 -1.7645972 -1.5629113 -1.8934897 -1.8024206 -1.607025 -1.2435095 -1.8245076 -1.4239815 -1.3888928 -2.6586828 -1.7500902 -1.8467606 -1.501364 -1.5812266 -1.4639924
11657 0.32197682 1.4122239 1.47699979 0.80256303 0.70880235 1.52530536 1.00483995 0.97324113 1.15470781 0.76950794 1.672133 1.31616176 0.133636 0.77479787 0.86888701 1.35727158 1.68385684 1.09079664 1.0488101 0.65822007 0.2676315 1.5146581 1.52550428 0.88193738 1.20530264 0.97533712 1.16979624 0.50508819 0.95336902 0.20981253
11658 0.289877983 0.22538605 0.157240358 0.320900438 0.284983628 0.17417684 0.440446258 0.06915485 0.307818408 0.281348773 0.395630878 0.281867383 0.473148583 0.112600658 0.30971698 0.4073649 0.30780125 0.353200013 0.339732083 0.505690943 0.431521855 -0.03159708 0.319908678 0.28829925 0.31718791 0.24999223 0.051541835 0.246685398 0.334963803 0.460750585
11668 0.389768995 0.21714431 0.158324565 0.106670345 0.326233405 0.11441355 0.191339595 0.36061185 0.09748766 0.2184886 -0.41271969 0.130442735 0.274169955 0.16548336 0.27060283 -0.042369705 0.070490065 0.130389185 0.214006575 0.32097358 0.21813083 0.148185415 0.18228702 0.175998325 0.754277735 0.078085325 0.29375092 0.194066875 -0.077422535 0.201623785
